ID	IDS-ID	CONCEPT	DOCULECT	VALUE	FORM	WORKFLOW-TOKENS	WORKFLOW-COGIDS	WORKFLOW-CROSSIDS	TOKENS	COGIDS	CROSSIDS	ROOTIDS	MORPHEMES	
108	13-140-279-1	every, all	Chácobo	hatita	hatita	h a t i t a	203	203	h a t i t a	203	203	203	every-8	
109	13-140-279-3	every, all	Chácobo	tɨkɨta	tɨkɨta	t ɨ k ɨ t a	204	204	t ɨ k ɨ t a	204	204	204	every-9	
103	12-440-279-3	far (adv)	Chácobo	nɨama	nɨama	n ɨ a m a	151	151	n ɨ a + m a	151 306	151 25	151 25	near-3 _not	
102	12-440-279-1	far (adv)	Chácobo	βasi	βasi	β a s i	150	131	β a s i	150	131	131	far-6	
90	1-810-279-1	fire	Chácobo	čiʔi	čiʔi	tʃ i ʔ i	1	1	tʃ i ʔ i	1	1	1	fire-2	
91	1-820-279-1	flame (noun)	Chácobo	čiʔi hana	čiʔi hana	tʃ i ʔ i + h a n a	7 14	1 14	tʃ i ʔ i + h a n a	7 14	1 14	1 14	fire-2 flame-5	
104	16-710-279-1	good	Chácobo	hia	hia	h i a	157	157	h i a	157	157	157	good-6	
106	16-710-279-5	good	Chácobo	hiaṣ̌ɨni	hiaṣ̌ɨni	h i a + ʂ ɨ n i	157 160	157 53	h i a + ʂ ɨ n i	157 160	157 53	157 53	good-6 _sini-suffix	
105	16-710-279-3	good	Chácobo	hɨnima	hɨnima	h ɨ n i m a	162	162	h ɨ n i + m a	305 25	305 25	305 25	bad_6 _not	
97	12-550-279-3	large, big	Chácobo	čaʔita-ṣ̌ɨni	čaʔita-ṣ̌ɨni	tʃ a ʔ i t a + ʂ ɨ n i	61 53	61 53	tʃ a + ʔ i t a + ʂ ɨ n i	42 61 53	42 61 53	42 61 53	large large-6 _sini-suffix	
96	12-550-279-1	large, big	Chácobo	-wa	wa	w a	57	57	w a	57	57	57	large-7	
101	12-430-279-1	near (adv)	Chácobo	βasi-ma	βasi-ma	β a s i + m a	131 125	131 62	β a s i + m a	131 125	131 25	131 25	far-6 _not	
110	13-10-279-1	one	Chácobo	wɨsti-ta	wɨsti-ta	w ɨ s t i + t a	215 219	215 219	w ɨ s t i + t a	215 219	215 219	215 219	one-3 _ta-suffix	
94	1-510-279-1	sky	Chácobo	nai-pa	nai-pa	n ai + p a	29 33	29 33	n ai + p a	29 33	29 33	29 33	sky-2 _pa-suffix	
98	12-560-279-1	small, little	Chácobo	mišni	mišni	m i ʃ n i	70	70	m i ʃ + n i	70 310	70 310	70 310	small-5 _ni-suffix	
99	12-560-279-3	small, little	Chácobo	pistia	pistia	p i s t i a	71	71	p i s t i a	71	71	71	small-6	
92	1-830-279-1	smoke (noun)	Chácobo	koʔini	koʔini	k o ʔ i n i	19	19	k o ʔ i + n i	17 323	17 310	17 310	smoke-2 _ni-suffix	
95	1-520-279-1	sun	Chácobo	βari	βari	β a r i	36	36	β a r i	36	36	36	sun-2	
127	12-630-279-1	thick (in dimension)	Chácobo	oti	oti	o t i	87	87	o t i	87	87	87	thick-6	
128	12-650-279-1	thin (in dimension)	Chácobo	siwiki	siwiki	s i w i k i	98	98	s i w i k i	98	98	98	thin-3	
114	1-840-274-1	ashes	Ese Ejja	kʷaki-maxo	kʷaki-maxo	kʷ a + k i + m a x o	2 300 23	2 4 23	kʷ a + k i + m a x o	2 300 23	2 4 23	2 4 23	fire fire-4 ashes-2	
115	1-840-274-3	ashes	Ese Ejja	kʷaki-powi	kʷaki-powi	kʷ a + k i + p o w i	2 300 27	2 4 27	kʷ a + k i + p o w i	2 300 27	2 4 27	2 4 27	fire fire-4 ashes-3	
136	16-720-274-1	bad	Ese Ejja	kea-mase	kea-mase	k e a + m a s e	176 177	45 177	k e a + m a s e	176 177	45 177	45 177	_kia-prefix bad-2	
137	16-720-274-3	bad	Ese Ejja	kea-šoʔitai	kea-šoʔitai	k e a + ʃ o ʔ i t ai	176 178	45 178	k e a + ʃ o ʔ i + t ai	176 34 179	45 34 179	45 34 179	_kia-prefix bad-9 bad-10	
122	14-410-274-1	day	Ese Ejja	epoxa	epoxa	e p o x a	115	115	e + p o x a	117 121	38 121	38 121	day-5 day-6	
111	1-213-274-1	dust	Ese Ejja	meši-hahi	meši-hahi	m e ʃ i + h a h i	232 228	232 228	m e + ʃ i + h a + h i	226 228 169 170	221 228 169 170	221 228 169 170	earth earth-5 dust-4 dust-5	
138	13-140-274-1	every, all	Ese Ejja	oxaɲa	oxaɲa	o x a ɲ a	205	205	o x a ɲ a	205	205	205	every-10	
139	13-140-274-3	every, all	Ese Ejja	wasee	wasee	w a s eː	206	206	w a s eː	206	206	206	every-11	
132	12-440-274-3	far (adv)	Ese Ejja	-ki	ki	k i	153	45	k i	153	153	153	far-7	
131	12-440-274-1	far (adv)	Ese Ejja	-weeša	weeša	w eː ʃ a	152	152	w eː ʃ a	152	152	152	far-9	
112	1-810-274-1	fire	Ese Ejja	kʷa-ki	kʷa-ki	kʷ a + k i	307 4	2 4	kʷ a + k i	307 4	2 4	2 4	fire fire-4	
133	16-710-274-1	good	Ese Ejja	-ɓame	ɓame	b a m e	159	159	b a m e	159	159	159	good-7	
134	16-710-274-3	good	Ese Ejja	hayaya	hayaya	h a j a j a	171	171	h a j a + j a	168 173	168 31	168 31	good _ja-suffix	
135	16-710-274-5	good	Ese Ejja	-kixene	kixene	k i x e n e	172	172	k i x e n e	172	172	172	good-8	
119	12-550-274-1	large, big	Ese Ejja	-kemo	kemo	k e m o	52	52	k e m o	52	52	52	large-8	
129	12-430-274-1	near (adv)	Ese Ejja	-čipi	čipi	tʃ i p i	132	132	tʃ i p i	132	132	132	near-4	
130	12-430-274-3	near (adv)	Ese Ejja	wešaʔama	wešaʔama	w e ʃ a ʔ a m a	133	133	w e ʃ a ʔ a + m a	133 62	133 25	133 25	far-8 _not	
140	13-10-274-1	one	Ese Ejja	oe	oe	o e	211	211	o e	211	196	196	_we-suffix	
116	1-510-274-1	sky	Ese Ejja	eya	eya	e j a	32	32	e j a	32	32	32	sky-3	
120	12-560-274-1	small, little	Ese Ejja	-ɓiso	ɓiso	b i s o	69	69	b i s o	69	69	69	small-4	
121	12-560-274-3	small, little	Ese Ejja	-sisi	sisi	s i s i	65	65	s i s i	65	65	65	small-7	
113	1-830-274-1	smoke (noun)	Ese Ejja	wičača	wičača	w i tʃ a tʃ a	20	20	w i tʃ a tʃ a	20	20	20	smoke-4	
118		sun	Ese Ejja		ešeki	e ʃ e k i	38	38	e + ʃ e k i	38 39	38 39	38 39	day-5 sun	
117	1-520-274-1	sun	Ese Ejja	išeki ~ ešeki	išeki	i ʃ e k i	40	40	i + ʃ e k i	115 39	115 39	115 39	flame-3 sun	
123	12-630-274-1	thick (in dimension)	Ese Ejja	-'mo	mo	m o	86	86	m o	86	86	86	thick-7	
124	12-650-274-1	thin (in dimension)	Ese Ejja	-ɓehe	ɓehe	b e h e	112	112	b e h e	112	112	112	thin-4	
125	12-650-274-3	thin (in dimension)	Ese Ejja	-ɓiso	ɓiso	b i s o	111	69	b i s o	111	69	69	small-4	
126	12-650-274-5	thin (in dimension)	Ese Ejja	šiwi	šiwi	ʃ i w i	97	97	ʃ i w i	97	97	97	thin-5	
145	1-840-275-1	ashes	Ese Ejja (Huarayo)	powi	powi	p o w i	27	27	p o w i	27	27	27	ashes-3	
156	16-720-275-1	bad	Ese Ejja (Huarayo)	kia-tai	kia-tai	k i a + t ai	176 179	45 179	k i a + t ai	176 179	45 179	45 179	_kia-prefix bad-10	
154	14-410-275-1	day	Ese Ejja (Huarayo)	e-poxa	e-poxa	e + p o x a	117 121	40 121	e + p o x a	117 121	38 121	38 121	day-5 day-6	
142	1-213-275-1	dust	Ese Ejja (Huarayo)	kia-poi	kia-poi	k i a + p o i	234 233	234 233	k i a + p o i	234 233	234 233	234 233	dust-6 dust-7	
141	1-212-275-1	earth=ground, soil	Ese Ejja (Huarayo)	meši	meši	m e ʃ i	223	223	m e + ʃ i	221 5	221 5	221 5	earth earth-2	
153	12-440-275-1	far (adv)	Ese Ejja (Huarayo)	kia-weša	kia-weša	k i a + w e ʃ a	153 152	45 152	k i a + w e ʃ a	45 152	45 152	45 152	_kia-prefix far-9	
143	1-810-275-1	fire	Ese Ejja (Huarayo)	kwaki	kwaki	k w a k i	5	5	kʷ a + k i	307 4	2 4	2 4	fire fire-4	
155	16-710-275-1	good	Ese Ejja (Huarayo)	kia-bame	kia-bame	k i a + b a m e	170 159	45 159	k i a + b a m e	313 159	45 159	45 159	_kia-prefix good-7	
148	12-550-275-1	large, big	Ese Ejja (Huarayo)	kia-ʔao	kia-ʔao	k i a + ʔ a o	45 55	45 55	k i a + ʔ a o	45 55	45 55	45 55	_kia-prefix large-4	
152	12-430-275-1	near (adv)	Ese Ejja (Huarayo)	kia-čii-nee	kia-čii-nee	k i a + tʃ iː + n eː	134 135 142	45 135 142	k i a + tʃ iː + n eː	134 135 142	45 135 142	45 135 142	_kia-prefix near-5 near-6	
157	13-10-275-1	one	Ese Ejja (Huarayo)	owe	owe	o w e	211	211	o w e	211	196	196	_we-suffix	
146	1-510-275-1	sky	Ese Ejja (Huarayo)	eya	eya	e j a	32	32	e j a	32	32	32	sky-3	
149	12-560-275-1	small, little	Ese Ejja (Huarayo)	kia-sisi	kia-sisi	k i a + s i s i	74 65	45 65	k i a + s i s i	74 65	45 65	45 65	_kia-prefix small-7	
144	1-830-275-1	smoke (noun)	Ese Ejja (Huarayo)	wičača	wičača	w i tʃ a tʃ a	20	20	w i tʃ a tʃ a	20	20	20	smoke-4	
147	1-520-275-1	sun	Ese Ejja (Huarayo)	e-šeti	e-šeti	e + ʃ e t i	40 39	40 39	e + ʃ e t i	40 39	38 39	38 39	day-5 sun	
150	12-630-275-1	thick (in dimension)	Ese Ejja (Huarayo)	kia-see	kia-see	k i a + s eː	88 89	45 89	k i a + s eː	88 89	45 89	45 89	_kia-prefix thick-8	
151	12-650-275-1	thin (in dimension)	Ese Ejja (Huarayo)	kia-šiwi	kia-šiwi	k i a + ʃ i w i	102 97	45 97	k i a + ʃ i w i	102 97	45 97	45 97	_kia-prefix thin-5	
160	1-840-280-1	ashes	Pacahuara	mišpo	mišpo	m i ʃ p o	26	26	m i ʃ + p o	26 314	70 236	70 236	small-5 dust-10	
164	14-410-280-1	day	Pacahuara	waři	waři	w a r i	116	36	w a r i	116	36	36	sun-2	
165	12-440-280-1	far (adv)	Pacahuara	nɨ'ama	nɨ'ama	n ɨ a m a	151	151	n ɨ a + m a	151 306	151 25	151 25	near-3 _not	
158	1-810-280-1	fire	Pacahuara	čiʔi	čiʔi	tʃ i ʔ i	1	1	tʃ i ʔ i	1	1	1	fire-2	
161	1-510-280-1	sky	Pacahuara	na'ipa	na'ipa	n a i p a	30	30	n a i + p a	29 33	29 33	29 33	sky-2 _pa-suffix	
163	12-560-280-1	small, little	Pacahuara	mišni	mišni	m i ʃ n i	70	70	m i ʃ + n i	70 310	70 310	70 310	small-5 _ni-suffix	
159	1-830-280-1	smoke (noun)	Pacahuara	ko'ʔina	ko'ʔina	k o ʔ i n a	19	19	k o ʔ i + n a	17 19	17 19	17 19	smoke-2 _na-suffix	
162	1-520-280-1	sun	Pacahuara	waři	waři	w a r i	36	36	w a r i	36	36	36	sun-2	
171	1-840-281-1	ashes	Shipibo-Conibo	čii-mapo	čii-mapo	tʃ iː + m a p o	22 23	1 23	tʃ iː + m a p o	22 23	1 23	1 23	fire-2 ashes-2	
