ID	IDS-ID	CONCEPT	DOCULECT	VALUE	FORM	WORKFLOW-TOKENS	WORKFLOW-COGIDS	WORKFLOW-CROSSIDS	TOKENS	COGIDS	CROSSIDS	ROOTIDS	MORPHEMES	
204	12-560-276-1	small, little	Tacana	konini	konini	k o n i n i	77	77	k o n i n i	77	77	77	small-12	
205	12-560-276-3	small, little	Tacana	čidi	čidi	tʃ i d i	78	78	tʃ i d i	78	78	78	small-10	
206	12-560-276-5	small, little	Tacana	waičidi	waičidi	w ai + tʃ i d i	79 78	79 78	w ai + tʃ i d i	79 78	79 78	79 78	small-11 small-10	
197	1-830-276-1	smoke (noun)	Tacana	hodo	hodo	h o d o	15	15	h o d o	15	15	15	smoke	
200	1-520-276-1	sun	Tacana	iď̶eti	iď̶eti	i dˀ e t i	41	41	i dˀ + e t i	41 39	41 39	41 39	sun-4 sun	
207	12-630-276-1	thick (in dimension)	Tacana	ma(ʔ)aida	maʔaida	m a ʔ ai d a	90	90	m a ʔ ai + d a	90 82	90 59	90 59	thick-10 _da-suffix	
208		thick (in dimension)	Tacana		maaida	m aː i d a	91	91	m aː i + d a	91 82	91 59	90 59	thick-11 _da-suffix	
209	12-630-276-3	thick (in dimension)	Tacana	pamoda	pamoda	p a m o d a	92	92	p a m o + d a	92 82	92 59	92 59	thick _da-suffix	
210	12-650-276-1	thin (in dimension)	Tacana	ma wai-čidi	ma wai-čidi	m a + w ai + tʃ i d i	99 104 109	62 104 78	m a + w ai + tʃ i d i	326 104 109	99 79 78	99 79 78	thin-12 small-11 small-10	
212	12-650-276-5	thin (in dimension)	Tacana	ošori	ošori	o ʃ o r i	108	108	o ʃ o r i	108	108	108	thin-10	
211	12-650-276-3	thin (in dimension)	Tacana	wiri-wiri	wiri-wiri	w i r i + w i r i	96 0	96 0	w i r i + w i r i	96 0	96 0	96 0	thin-9 _thin-9	
228	1-840-282-1	ashes	Yaminahua	čii mapo	čii mapo	tʃ iː + m a p o	22 23	1 23	tʃ iː + m a p o	22 23	1 23	1 23	fire-2 ashes-2	
243	16-720-282-1	bad	Yaminahua	čaka	čaka	tʃ a k a	191	191	tʃ a k a	191	191	191	bad-11	
