ID	DOCULECT	CONCEPT	VALUE	FORM	WORKFLOWTOKENS	WORKFLOWCOGIDS	WORKFLOWCROSSIDS	TOKENS	COGIDS	CROSSIDS	ROOTIDS	MORPHEMES
3301	Carijona	fruit	βeβe eheru	βeβe eheru	β e β e + e h e r u	139 140	3 140	β e β e + e h e + r u	139 140 161	3 154 159	3 154 159	tree-5 seed-3 _ru-suffix
3340	Carijona	spear	βeβehotɯri	βeβehotɯri	β e β e + h o t ɯ r i	132 133	3 133	β e β e + h o t ɯ r i	132 133	3 133	3 133	tree-5 spear-4
3448	Carijona	root	βeβe ɯmitɯ	βeβe ɯmitɯ	β e β e + ɯ m i t ɯ	35 36	3 36	β e β e + ɯ m i t ɯ	35 36	3 36	3 36	tree-5 root-4
13445	Macuna	hand	ãbõ	ãbõ	ã b õ	101	87	ã b õ	101	87	87	hand
13468	Macuna	wrist	ãbõhea	ãbõhea	ã b õ + h e a	107 113	87 113	ã b õ + h e a	107 113	87 113	87 113	hand wrist-6
13607	Macuna	fingernail/claw	ãbõwe	ãbõwe	ã b õ + w e	94 97	87 78	ã b õ + w e	94 97	87 78	87 78	hand bark-4
13608	Macuna	fingernail	ãbõ wero	ãbõ wero	ã b õ + w e + r o	87 90 152	87 78 152	ã b õ + w e + r o	87 90 152	87 78 152	87 78 152	hand bark-4 _ro-suffix
13571	Macuna	seed	ahe	ahe	a h e	154	154	a h e	154	154	154	seed-3
13417	Macuna	left	gãkõdi̵ha	gãkõdi̵ha	g ã k õ d ɨ h a	69	69	g ã k õ + d ɨ h a	66 67	66 42	66 42	left-2 direction-2
13469	Macuna	mask	gi̵hesioro	gi̵hesioro	g ɨ h e s i o r o	116	116	g ɨ + h e s i o r o	61 115	61 75	61 75	mask-3 skin-2
13353	Macuna	tooth	guhiga	guhiga	g u h i + g a	57 58	53 58	g u h i + g a	57 58	53 58	53 58	tooth-4 tooth-5
13352	Macuna	frontteeth/incisors	guhi rioho gaje	guhi rioho gaje	g u h i + r i o h o + g a j e	53 50 51	53 50 51	g u h i + r i o h o + g a j e	53 50 51	53 18 51	53 18 51	tooth-4 straight-3 tooth-6
13432	Macuna	firewood	hea juki̵	hea juki̵	h e a + j u k ɨ	125 126	113 126	h e a + j u k ɨ	125 126	125 1	125 1	firewood-4 tree-2
13328	Macuna	heart	i̵gi̵ãbĩ̵	i̵gi̵ãbĩ̵	ɨ g ɨ ã b ɨ̃	9	9	ɨ g ɨ ã b ɨ̃	9	9	9	heart-6
13329	Macuna	heart	i̵si	i̵si	ɨ s i	10	10	ɨ s i	10	10	10	heart-7
13509	Macuna	chest	i̵si rioho	i̵si rioho	ɨ s i + r i o h o	23 24	10 24	ɨ s i + r i o h o	23 24	10 18	10 18	heart-7 straight-3
13551	Macuna	root	jẽbã	jẽbã	j ẽ b ã	37	37	j ẽ b ã	37	37	37	root-3
13629	Macuna	tree	juki̵	juki̵	j u k ɨ	1	1	j u k ɨ	1	1	1	tree-2
13505	Macuna	stick	juki̵	juki̵	j u k ɨ	118	1	j u k ɨ	118	1	1	tree-2
13333	Macuna	bark	juki̵ wero	juki̵ wero	j u k ɨ + w e + r o	74 78 153	1 78 152	j u k ɨ + w e + r o	74 78 153	1 78 152	1 78 152	tree-2 bark-4 _ro-suffix
13425	Macuna	spear	reare bisu	reare bisu	r e a r e + b i s u	134 131	134 131	r e a r e + b i s u	134 131	134 131	134 131	spear-5 spear-3
13567	Macuna	sap	rí	rí	r i	145	145	r i	145	145	145	sap-2
13384	Macuna	fruit	rika	rika	r i k a	142	142	r i k a	142	142	142	fruit-3
13331	Macuna	correct	rioho	rioho	r i o h o	18	18	r i o h o	18	18	18	straight-3
13552	Macuna	straight	rioho	rioho	r i o h o	31	18	r i o h o	29	18	18	straight-3
13351	Macuna	right	riohokadi̵ha	riohokadi̵ha	r i o h o + k a d ɨ h a	44 45	18 45	r i o h o + k a + d ɨ h a	44 45 42	18 45 42	18 45 42	straight-3 right-6 direction-2
13416	Macuna	island	ruhajoga	ruhajoga	r u h a j o g a	61	61	r u h a + j o g a	63 400	63 59	63 59	island-4 island-5
13522	Macuna	skin	wiro	wiro	w i r o	84	84	w i r o	84	84	84	skin-4
19883	Tanimuca	skin	ahea	ahea	a h e a	82	82	a h e a	82	75	75	skin-2
