Grapheme	IPA
a	a
kʷ	kʷ
t	t
i	i
e	e
o	o
h	h
d	d
m	m
b	b
p	p
z	z
ǰ	j
s	s
c̷	ts
ɲ	ɲ
r	r
ɨ	ɨ
ĩ	iː
č	tʃ
β	β
ʔ	ʔ
k	k
y	j
u	u
tʸ	tʲ
ɓ	b
x	x
ð	dʱ
õ	õ
w	w
l	l
n	n
^	NULL
$	NULL
š	ʃ
ɨ̃	ɨ̃
ṣ̌	ʂ
ṣ̌	ʂ
ã	ã
dʸ	dʲ
ř	r
ď̶	dˀ
ee	eː
ii	iː
'	NULL
aa	aː
uu	uː
ai	ai
-	+
_	+
ɨɨ	ɨː
